station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
CI.FRK..HH,2020-10-01T00:00:00.003,3666,2020-10-01T00:00:36.663,0.935,P,CI.FRK.2020-10-01T00:00.mseed,1.4283612017607084e-06,1.4283612017607084e-06
CI.FRK..HH,2020-10-01T00:00:00.003,6231,2020-10-01T00:01:02.313,0.814,P,CI.FRK.2020-10-01T00:00.mseed,1.1114342441942426e-06,1.1114342441942426e-06
CI.FRK..HH,2020-10-01T00:00:00.003,7274,2020-10-01T00:01:12.743,0.303,P,CI.FRK.2020-10-01T00:00.mseed,1.2854657143179793e-06,1.2854657143179793e-06
CI.FRK..HH,2020-10-01T00:00:00.003,8958,2020-10-01T00:01:29.583,0.962,P,CI.FRK.2020-10-01T00:00.mseed,1.382086452395015e-06,1.382086452395015e-06
CI.FRK..HH,2020-10-01T00:00:00.003,14727,2020-10-01T00:02:27.273,0.969,P,CI.FRK.2020-10-01T00:00.mseed,8.171954505087342e-06,8.171954505087342e-06
CI.FRK..HH,2020-10-01T00:00:00.003,619,2020-10-01T00:00:06.193,0.513,S,CI.FRK.2020-10-01T00:00.mseed,4.410336714499863e-06,4.410336714499863e-06
CI.FRK..HH,2020-10-01T00:00:00.003,4213,2020-10-01T00:00:42.133,0.72,S,CI.FRK.2020-10-01T00:00.mseed,1.4283612017607084e-06,1.4283612017607084e-06
CI.FRK..HH,2020-10-01T00:00:00.003,7891,2020-10-01T00:01:18.913,0.678,S,CI.FRK.2020-10-01T00:00.mseed,1.3774986200587591e-06,1.3774986200587591e-06
CI.FRK..HH,2020-10-01T00:00:00.003,9523,2020-10-01T00:01:35.233,0.614,S,CI.FRK.2020-10-01T00:00.mseed,1.3277558537083678e-06,1.3277558537083678e-06
CI.IMP..HH,2020-10-01T00:00:00.008,3345,2020-10-01T00:00:33.458,0.894,P,CI.IMP.2020-10-01T00:00.mseed,6.225133984116837e-05,6.225133984116837e-05
CI.IMP..HH,2020-10-01T00:00:00.008,7025,2020-10-01T00:01:10.258,0.978,P,CI.IMP.2020-10-01T00:00.mseed,5.255855285213329e-05,5.255855285213329e-05
CI.IMP..HH,2020-10-01T00:00:00.008,8599,2020-10-01T00:01:25.998,0.968,P,CI.IMP.2020-10-01T00:00.mseed,3.537299926392734e-05,3.537299926392734e-05
CI.IMP..HH,2020-10-01T00:00:00.008,9532,2020-10-01T00:01:35.328,0.66,P,CI.IMP.2020-10-01T00:00.mseed,3.7646394048351794e-05,3.7646394048351794e-05
CI.IMP..HH,2020-10-01T00:00:00.008,11543,2020-10-01T00:01:55.438,0.957,P,CI.IMP.2020-10-01T00:00.mseed,3.735262725967914e-05,3.735262725967914e-05
CI.IMP..HH,2020-10-01T00:00:00.008,13591,2020-10-01T00:02:15.918,0.778,P,CI.IMP.2020-10-01T00:00.mseed,3.255031333537772e-05,3.255031333537772e-05
CI.IMP..HH,2020-10-01T00:00:00.008,14516,2020-10-01T00:02:25.168,0.965,P,CI.IMP.2020-10-01T00:00.mseed,0.00021977715368848294,0.00021977715368848294
CI.IMP..HH,2020-10-01T00:00:00.008,15088,2020-10-01T00:02:30.888,0.553,P,CI.IMP.2020-10-01T00:00.mseed,0.0001377339067403227,0.0001377339067403227
CI.IMP..HH,2020-10-01T00:00:00.008,15818,2020-10-01T00:02:38.188,0.808,P,CI.IMP.2020-10-01T00:00.mseed,8.446646097581834e-05,8.446646097581834e-05
CI.IMP..HH,2020-10-01T00:00:00.008,17412,2020-10-01T00:02:54.128,0.799,P,CI.IMP.2020-10-01T00:00.mseed,3.871077933581546e-05,3.871077933581546e-05
CI.IMP..HH,2020-10-01T00:00:00.008,153,2020-10-01T00:00:01.538,0.859,S,CI.IMP.2020-10-01T00:00.mseed,0.0001185378132504411,0.0001185378132504411
CI.IMP..HH,2020-10-01T00:00:00.008,3696,2020-10-01T00:00:36.968,0.901,S,CI.IMP.2020-10-01T00:00.mseed,6.225133984116837e-05,6.225133984116837e-05
CI.IMP..HH,2020-10-01T00:00:00.008,7376,2020-10-01T00:01:13.768,0.926,S,CI.IMP.2020-10-01T00:00.mseed,5.255855285213329e-05,5.255855285213329e-05
CI.IMP..HH,2020-10-01T00:00:00.008,9877,2020-10-01T00:01:38.778,0.822,S,CI.IMP.2020-10-01T00:00.mseed,3.7646394048351794e-05,3.7646394048351794e-05
CI.IMP..HH,2020-10-01T00:00:00.008,11880,2020-10-01T00:01:58.808,0.899,S,CI.IMP.2020-10-01T00:00.mseed,3.735262725967914e-05,3.735262725967914e-05
CI.IMP..HH,2020-10-01T00:00:00.008,14100,2020-10-01T00:02:21.008,0.59,S,CI.IMP.2020-10-01T00:00.mseed,4.906616231892258e-05,4.906616231892258e-05
