station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
CI.WMD..HH,2020-10-01T00:00:00.008,5816,2020-10-01T00:00:58.168,0.956,S,CI.WMD.2020-10-01T00:00.mseed,0.0002514001098461449,0.0002514001098461449
CI.WMD..HH,2020-10-01T00:00:00.008,6969,2020-10-01T00:01:09.698,0.945,S,CI.WMD.2020-10-01T00:00.mseed,0.00025477251620031893,0.00025477251620031893
CI.WMD..HH,2020-10-01T00:00:00.008,7712,2020-10-01T00:01:17.128,0.946,S,CI.WMD.2020-10-01T00:00.mseed,0.00045041166595183313,0.00045041166595183313
CI.WMD..HH,2020-10-01T00:00:00.008,8499,2020-10-01T00:01:24.998,0.935,S,CI.WMD.2020-10-01T00:00.mseed,0.00021093782561365515,0.00021093782561365515
CI.WMD..HH,2020-10-01T00:00:00.008,9490,2020-10-01T00:01:34.908,0.945,S,CI.WMD.2020-10-01T00:00.mseed,0.00024959773872978985,0.00024959773872978985
CI.WMD..HH,2020-10-01T00:00:00.008,10210,2020-10-01T00:01:42.108,0.916,S,CI.WMD.2020-10-01T00:00.mseed,0.00019170813902746886,0.00019170813902746886
CI.WMD..HH,2020-10-01T00:00:00.008,11494,2020-10-01T00:01:54.948,0.924,S,CI.WMD.2020-10-01T00:00.mseed,0.00017013662727549672,0.00017013662727549672
CI.WMD..HH,2020-10-01T00:00:00.008,12405,2020-10-01T00:02:04.058,0.926,S,CI.WMD.2020-10-01T00:00.mseed,0.00039378376095555723,0.00039378376095555723
CI.WMD..HH,2020-10-01T00:00:00.008,13611,2020-10-01T00:02:16.118,0.858,S,CI.WMD.2020-10-01T00:00.mseed,0.0007061269716359675,0.0007061269716359675
CI.WMD..HH,2020-10-01T00:00:00.008,14475,2020-10-01T00:02:24.758,0.907,S,CI.WMD.2020-10-01T00:00.mseed,0.0011939668329432607,0.0011939668329432607
CI.WMD..HH,2020-10-01T00:00:00.008,15777,2020-10-01T00:02:37.778,0.923,S,CI.WMD.2020-10-01T00:00.mseed,0.00041356327710673213,0.00041356327710673213
CI.YUH2..HH,2020-10-01T00:00:00.008,343,2020-10-01T00:00:03.438,0.874,P,CI.YUH2.2020-10-01T00:00.mseed,4.545987394521944e-06,4.545987394521944e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,3907,2020-10-01T00:00:39.078,0.95,P,CI.YUH2.2020-10-01T00:00.mseed,1.8120686036127154e-06,1.8120686036127154e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,6509,2020-10-01T00:01:05.098,0.576,P,CI.YUH2.2020-10-01T00:00.mseed,8.726333362574223e-07,8.726333362574223e-07
CI.YUH2..HH,2020-10-01T00:00:00.008,7586,2020-10-01T00:01:15.868,0.946,P,CI.YUH2.2020-10-01T00:00.mseed,1.5664327293052338e-06,1.5664327293052338e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,9181,2020-10-01T00:01:31.818,0.621,P,CI.YUH2.2020-10-01T00:00.mseed,2.4947544261522125e-06,2.4947544261522125e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,12121,2020-10-01T00:02:01.218,0.904,P,CI.YUH2.2020-10-01T00:00.mseed,1.4521225466523902e-06,1.4521225466523902e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,15076,2020-10-01T00:02:30.768,0.815,P,CI.YUH2.2020-10-01T00:00.mseed,7.295446266653016e-06,7.295446266653016e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,1038,2020-10-01T00:00:10.388,0.674,S,CI.YUH2.2020-10-01T00:00.mseed,4.545987394521944e-06,4.545987394521944e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,4670,2020-10-01T00:00:46.708,0.743,S,CI.YUH2.2020-10-01T00:00.mseed,1.8120686036127154e-06,1.8120686036127154e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,7166,2020-10-01T00:01:11.668,0.678,S,CI.YUH2.2020-10-01T00:00.mseed,1.2317766504565952e-06,1.2317766504565952e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,8357,2020-10-01T00:01:23.578,0.571,S,CI.YUH2.2020-10-01T00:00.mseed,1.5664327293052338e-06,1.5664327293052338e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,9836,2020-10-01T00:01:38.368,0.618,S,CI.YUH2.2020-10-01T00:00.mseed,2.4947544261522125e-06,2.4947544261522125e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,15733,2020-10-01T00:02:37.338,0.594,S,CI.YUH2.2020-10-01T00:00.mseed,7.295446266653016e-06,7.295446266653016e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,16385,2020-10-01T00:02:43.858,0.449,S,CI.YUH2.2020-10-01T00:00.mseed,5.031469299865421e-06,5.031469299865421e-06
