station_id,begin_time,phase_index,phase_time,phase_score,phase_type,phase_amplitude
CI.RXH..HH,2020-10-01T00:00:00.003,3340,2020-10-01T00:00:33.403,0.554,P,2.1117404685355723e-05
CI.RXH..HH,2020-10-01T00:00:00.003,5878,2020-10-01T00:00:58.783,0.788,P,1.423613321094308e-05
CI.RXH..HH,2020-10-01T00:00:00.003,8612,2020-10-01T00:01:26.123,0.466,P,2.027958726102952e-05
CI.RXH..HH,2020-10-01T00:00:00.003,14318,2020-10-01T00:02:23.183,0.978,P,0.0006816518143750727
CI.RXH..HH,2020-10-01T00:00:00.003,3554,2020-10-01T00:00:35.543,0.795,S,2.1117404685355723e-05
CI.RXH..HH,2020-10-01T00:00:00.003,7209,2020-10-01T00:01:12.093,0.569,S,2.1363912310334854e-05
CI.RXH..HH,2020-10-01T00:00:00.003,14415,2020-10-01T00:02:24.153,0.663,S,0.0006816518143750727
