station_id,begin_time,phase_index,phase_time,phase_score,phase_type,phase_amplitude
CI.DRE..HH,2020-10-01T00:00:00.003,15056,2020-10-01T00:02:30.563,0.325,P,6.641348591074347e-05
CI.DRE..HH,2020-10-01T00:00:00.003,664,2020-10-01T00:00:06.643,0.66,S,4.647919922717847e-05
