station_id,begin_time,phase_index,phase_time,phase_score,phase_type,phase_amplitude
CI.SNR..HH,2020-10-01T00:00:00.008,14687,2020-10-01T00:02:26.878,0.43,P,4.963900937582366e-05
CI.SNR..HH,2020-10-01T00:00:00.008,421,2020-10-01T00:00:04.218,0.44,S,3.327182639623061e-05
CI.SNR..HH,2020-10-01T00:00:00.008,7642,2020-10-01T00:01:16.428,0.705,S,1.7037591533153318e-05
CI.SNR..HH,2020-10-01T00:00:00.008,9216,2020-10-01T00:01:32.168,0.721,S,1.7345184460282326e-05
CI.SNR..HH,2020-10-01T00:00:00.008,15114,2020-10-01T00:02:31.148,0.847,S,4.963900937582366e-05
