station_id,begin_time,phase_index,phase_time,phase_score,phase_type,phase_amplitude
CI.SAL..HH,2020-10-01T00:00:00.003,206,2020-10-01T00:00:02.063,0.769,P,1.1750007615773939e-05
CI.SAL..HH,2020-10-01T00:00:00.003,14919,2020-10-01T00:02:29.193,0.947,P,3.676175037981011e-05
