station_id,begin_time,phase_index,phase_time,phase_score,phase_type,phase_amplitude
CI.ERR..HH,2020-10-01T00:00:00.008,85,2020-10-01T00:00:00.858,0.662,P,4.3048432416981086e-05
CI.ERR..HH,2020-10-01T00:00:00.008,11700,2020-10-01T00:01:57.008,0.813,P,1.103644899558276e-05
CI.ERR..HH,2020-10-01T00:00:00.008,14647,2020-10-01T00:02:26.478,0.939,P,8.287748642032966e-05
CI.ERR..HH,2020-10-01T00:00:00.008,12130,2020-10-01T00:02:01.308,0.639,S,1.103644899558276e-05
CI.ERR..HH,2020-10-01T00:00:00.008,15013,2020-10-01T00:02:30.138,0.908,S,8.287748642032966e-05
